"book","author","genre","publisher","publishDate"
"http://dbpedia.org/resource/The_Book_of_Elsewhere","http://dbpedia.org/resource/Keanu_Reeves","http://dbpedia.org/resource/Speculative_fiction","http://dbpedia.org/resource/Boom!_Studios",2024-07-23
"http://dbpedia.org/resource/The_Book_of_Elsewhere","http://dbpedia.org/resource/Keanu_Reeves","http://dbpedia.org/resource/Speculative_fiction","http://dbpedia.org/resource/Del_Rey_Books",2024-07-23
"http://dbpedia.org/resource/The_Book_of_Elsewhere","http://dbpedia.org/resource/China_Miéville","http://dbpedia.org/resource/Speculative_fiction","http://dbpedia.org/resource/Boom!_Studios",2024-07-23
"http://dbpedia.org/resource/The_Book_of_Elsewhere","http://dbpedia.org/resource/China_Miéville","http://dbpedia.org/resource/Speculative_fiction","http://dbpedia.org/resource/Del_Rey_Books",2024-07-23
"http://dbpedia.org/resource/The_Wicker_Man:_The_Official_Story_of_the_Film","http://dbpedia.org/resource/John_Walsh_(filmmaker)","http://dbpedia.org/resource/Fantasy_film","http://dbpedia.org/resource/Titan_Publishing_Group",2023-10-24
"http://dbpedia.org/resource/Trombone_Shorty_(book)","http://dbpedia.org/resource/Trombone_Shorty","http://dbpedia.org/resource/Picture_book","http://dbpedia.org/resource/Abrams_Books",2015-04-14
"http://dbpedia.org/resource/Axiomatic_(short_story_collection)","http://dbpedia.org/resource/Greg_Egan","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/Orion_Publishing_Group",1995-01-01
"http://dbpedia.org/resource/Firewalkers_(novella)","http://dbpedia.org/resource/Adrian_Tchaikovsky","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/Solaris_Books",2020-05-12
"http://dbpedia.org/resource/Firewalkers_(novella)","http://dbpedia.org/resource/Adrian_Tchaikovsky","http://dbpedia.org/resource/Dystopia","http://dbpedia.org/resource/Solaris_Books",2020-05-12
"http://dbpedia.org/resource/Harmattan_Season","http://dbpedia.org/resource/Tochi_Onyebuchi","http://dbpedia.org/resource/Noir_fiction","http://dbpedia.org/resource/Tor_Books",2025-05-27
"http://dbpedia.org/resource/Meantime_(book)","http://dbpedia.org/resource/Frankie_Boyle","http://dbpedia.org/resource/Crime_fiction","http://dbpedia.org/resource/John_Murray_(publishing_house)",2022-07-21
"http://dbpedia.org/resource/A_Prayer_for_the_Crown-Shy","http://dbpedia.org/resource/Becky_Chambers","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/Reactor_(magazine)",2022-07-12
"http://dbpedia.org/resource/A_Psalm_for_the_Wild-Built","http://dbpedia.org/resource/Becky_Chambers","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/Tor_Books",2021-07-13
"http://dbpedia.org/resource/A_Psalm_for_the_Wild-Built","http://dbpedia.org/resource/Becky_Chambers","http://dbpedia.org/resource/Solarpunk","http://dbpedia.org/resource/Tor_Books",2021-07-13
"http://dbpedia.org/resource/Elatsoe","http://dbpedia.org/resource/Darcie_Little_Badger","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/Levine_Querido",2020-08-25
"http://dbpedia.org/resource/Indians_on_Vacation","http://dbpedia.org/resource/Thomas_King_(novelist)","http://dbpedia.org/resource/Literary_fiction","http://dbpedia.org/resource/HarperCollins",2020-08-25
"http://dbpedia.org/resource/Once_Upon_a_Time_in_Hollywood_(novel)","http://dbpedia.org/resource/Quentin_Tarantino","http://dbpedia.org/resource/Novelization","http://dbpedia.org/resource/HarperCollins",2021-06-29
"http://dbpedia.org/resource/Once_Upon_a_Time_in_Hollywood_(novel)","http://dbpedia.org/resource/Quentin_Tarantino","http://dbpedia.org/resource/List_of_Hollywood_novels","http://dbpedia.org/resource/HarperCollins",2021-06-29
"http://dbpedia.org/resource/Once_Upon_a_Time_in_Hollywood_(novel)","http://dbpedia.org/resource/Quentin_Tarantino","http://dbpedia.org/resource/Novelization","http://dbpedia.org/resource/Harper_Perennial",2021-06-29
"http://dbpedia.org/resource/Once_Upon_a_Time_in_Hollywood_(novel)","http://dbpedia.org/resource/Quentin_Tarantino","http://dbpedia.org/resource/List_of_Hollywood_novels","http://dbpedia.org/resource/Harper_Perennial",2021-06-29
"http://dbpedia.org/resource/Rising_Sun_(Conroy_novel)","http://dbpedia.org/resource/Robert_Conroy","http://dbpedia.org/resource/Alternate_history","http://dbpedia.org/resource/Baen_Books",2012-12-04
"http://dbpedia.org/resource/Star_Wars:_Into_the_Dark","http://dbpedia.org/resource/Claudia_Gray","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/Disney_Publishing_Worldwide",2021-02-02
